TransactionAmt,amount_deviation_ratio,tx_count_user,is_new_merchant,unusual_time,hour_of_day,is_weekend,is_night,card1,card2,card3,card4,card5,ProductCD,addr1,addr2,DeviceType,isFraud
36.519,1.143505761523046,133,0,1,23,0,0,12778,500.0,185.0,3,224.0,0,-999.0,-999.0,0,0
97.0,1.2763157894736843,3006,0,1,1,0,1,7826,481.0,150.0,3,224.0,4,387.0,87.0,0,0
72.0,1.180327868852459,1916,0,0,19,0,0,17399,111.0,150.0,3,224.0,4,204.0,87.0,0,0
100.0,0.847457627118644,11,1,1,19,0,0,4109,555.0,150.0,4,226.0,2,299.0,87.0,1,0
107.95,0.9908214777420835,33,0,0,14,0,0,11960,555.0,150.0,4,226.0,4,181.0,87.0,0,0
59.0,0.6943627162527951,7091,0,1,0,0,1,12695,490.0,150.0,4,226.0,4,126.0,87.0,0,0
106.0,0.9906542056074766,1503,0,0,14,0,0,15775,481.0,150.0,3,102.0,3,330.0,87.0,1,0
107.95,1.2858844550327575,6,0,1,22,0,0,17056,111.0,150.0,4,226.0,4,264.0,87.0,0,0
56.0,0.9333333333333333,14162,0,1,14,0,0,9500,321.0,150.0,4,226.0,4,126.0,87.0,0,0
105.95,1.3583333333333334,957,0,0,17,0,0,11218,579.0,150.0,4,226.0,4,184.0,87.0,0,0
29.0,0.48333333333333334,14162,0,0,23,0,0,9500,321.0,150.0,4,226.0,4,204.0,87.0,0,1
57.95,0.742948717948718,589,0,0,2,1,1,15185,-999.0,-999.0,0,-999.0,4,264.0,87.0,0,0
319.95,1.4865838076431641,8,0,1,5,0,1,2928,420.0,150.0,3,224.0,4,325.0,87.0,0,1
95.0,1.485535574667709,305,0,1,2,0,1,10075,514.0,150.0,3,224.0,4,315.0,87.0,0,0
31.5,0.5343511450381679,1509,0,0,4,1,1,2392,360.0,150.0,3,126.0,4,251.0,87.0,0,0
82.95,1.2207505518763797,2067,0,0,19,0,0,4806,490.0,150.0,4,226.0,4,315.0,87.0,0,0
57.95,0.9658333333333334,14162,0,1,16,0,0,9500,321.0,150.0,4,226.0,4,204.0,87.0,0,0
34.0,0.5666666666666667,2411,0,1,23,1,0,7815,161.0,150.0,3,117.0,4,123.0,87.0,0,0
59.0,0.9225957779515246,1947,0,1,0,1,1,4436,-999.0,-999.0,0,-999.0,4,441.0,87.0,0,0
77.0,1.013157894736842,30,0,0,0,1,1,3422,555.0,150.0,4,226.0,4,251.0,87.0,0,0
59.0,0.8944815039417828,898,0,0,17,0,0,12598,111.0,150.0,4,166.0,4,299.0,87.0,0,0
50.0,0.6211180124223602,22,1,1,12,0,0,14887,111.0,150.0,3,224.0,3,181.0,87.0,1,0
250.0,4.166666666666667,14932,1,1,5,1,1,7919,194.0,150.0,3,166.0,3,330.0,87.0,2,1
88.5,0.8762376237623762,1116,0,0,21,0,0,4272,111.0,150.0,4,226.0,4,299.0,87.0,0,0
59.0,0.6344086021505376,2774,0,0,21,1,0,7861,494.0,150.0,4,226.0,4,327.0,87.0,0,0
108.95,1.2977963073257892,10344,0,0,17,0,0,17188,321.0,150.0,4,226.0,4,299.0,87.0,0,0
42.114,1.4266743453369017,10361,0,1,3,0,1,15885,545.0,185.0,4,138.0,0,-999.0,-999.0,1,0
49.0,0.5975609756097561,580,0,0,14,1,0,12581,453.0,150.0,4,226.0,4,441.0,87.0,0,0
527.0,4.583804470731495,682,0,0,15,1,0,2744,490.0,150.0,4,195.0,4,299.0,87.0,0,0
117.0,1.017833840800348,1681,0,0,23,0,0,3821,111.0,150.0,3,219.0,4,325.0,87.0,0,0
75.0,0.7009345794392523,1503,0,1,0,0,1,15775,481.0,150.0,3,102.0,3,330.0,87.0,1,0
25.95,0.4325,14162,0,1,16,1,0,9500,321.0,150.0,4,226.0,4,204.0,87.0,0,0
311.95,3.7159023228111967,1112,0,0,12,0,0,6174,490.0,150.0,4,226.0,4,387.0,87.0,0,0
67.95,0.6236805874254245,7945,0,1,8,1,0,15066,170.0,150.0,3,102.0,4,315.0,87.0,0,0
61.95,0.9841143764892772,122,0,1,11,0,0,15528,111.0,150.0,4,226.0,4,384.0,87.0,0,0
54.0,0.5346534653465347,609,0,0,17,0,0,8394,490.0,150.0,4,226.0,4,126.0,87.0,0,0
